NWR,FLI (Day),FBI (Day),FLI (%),FBI (%),FLIDELTA,FBIDELTA,FLI_102030_avg_rate,FBI_102030_avg_rate,"FLI SD, AVG"
DELTA NATIONAL WILDLIFE REFUGE  ,19.97778,41.37222,27.86152,51.08468,27.33653,8.027978,-0.157771152,-0.01900669,4.411459
DES LACS NATIONAL WILDLIFE REFUGE  ,112.713,142.6176,3.951037,16.31095,8.706546,15.09263,-0.766294742,-0.45876177,8.62724
DESECHEO NATIONAL WILDLIFE REFUGE  ,6.988889,17.11667,9.871032,8.252909,14.5982,9.74383,-0.098383794,-0.184342538,0.4900726
DESERT NATIONAL WILDLIFE RANGE  ,54.12387,90.58487,3.427008,9.137416,5.720848,15.06609,-1.205250768,-0.989085835,7.981145
DESOTO NATIONAL WILDLIFE REFUGE  ,89.6108,117.058,5.857987,1.083654,7.397331,0.2339455,-0.960695949,-0.864184477,8.26635
DETROIT RIVER INTERNATIONAL WILDLIFE REFUGE  ,95.33861,124.6966,1.407279,1.083654,0.8664788,0.2339455,-1.013655867,-0.869057988,7.902554
DON EDWARDS SAN FRANCISCO BAY NATIONAL WILDLIFE REFUGE  ,28.85635,57.80032,1.083654,4.921911,0.2339455,8.4726,-0.486083781,-0.786085392,2.702767
DRIFTLESS AREA NATIONAL WILDLIFE REFUGE  ,98.21921,125.3146,1.407279,1.083654,0.8664788,0.2339455,-1.061578514,-0.825102317,8.879431
DUNGENESS NATIONAL WILDLIFE REFUGE  ,56.09935,115.693,4.248249,17.70351,4.041974,16.07206,-2.490489645,-1.278878039,12.62677
EASTERN NECK NATIONAL WILDLIFE REFUGE  ,73.14574,106.1028,9.99551,1.730903,21.12528,1.837353,-0.684647063,-0.775084046,9.122194
EASTERN SHORE OF VIRGINIA NATIONAL WILDLIFE REFUGE  ,51.92313,91.13977,28.39151,11.29001,47.87694,25.00877,-0.303328091,-0.527549468,11.85725
EDWIN B. FORSYTHE NATIONAL WILDLIFE REFUGE  ,78.81575,112.8027,11.03598,1.083654,22.09615,0.2339455,-0.827149793,-0.890227445,9.123805
EGMONT KEY NATIONAL WILDLIFE REFUGE  ,16.06667,32.28519,44.42222,35.54244,23.39493,36.85145,-0.018515185,-0.081165622,3.984073
ELIZABETH ALEXANDRA MORTON NATIONAL WILDLIFE REFUGE  ,89.69673,123.3641,5.325572,1.083654,11.41654,0.2339455,-0.893546336,-0.872971389,9.489669
ELLICOTT SLOUGH NATIONAL WILDLIFE REFUGE  ,30.50034,63.24881,1.083654,15.41173,0.2339455,10.9211,-0.584509761,-0.81166116,3.087451
EMIQUON NATIONAL WILDLIFE REFUGE  ,85.70979,112.1322,9.048995,1.083654,15.99948,0.2339455,-0.861310403,-1.068705249,6.689665
ERIE NATIONAL WILDLIFE REFUGE  ,96.12557,127.1736,1.407279,1.083654,0.8664788,0.2339455,-1.025168123,-0.782036347,7.53862
ERNEST F. HOLLINGS ACE BASIN NATIONAL WILDLIFE REFUGE  ,29.8331,57.37851,66.78523,61.30906,16.69201,29.47713,0.315277491,0.19461267,5.365169
EUFAULA NATIONAL WILDLIFE REFUGE  ,33.23135,62.34159,67.98167,56.37038,13.3115,27.26635,0.337298381,0.159283123,6.446324
EVERGLADES HEADWATERS NATIONAL WILDLIFE REFUGE AND CONSERVATION AREA  ,17.22584,34.29219,37.86571,36.41525,34.70091,32.75916,-0.03712853,-0.084426196,4.24879
FALLON NATIONAL WILDLIFE REFUGE  ,77.39783,116.5525,17.52113,21.1506,21.16037,29.89823,-0.755011191,-0.420516035,6.952855
