,FLI (10 Year),FLI (20 Year),FLI (30 Year),FBI (10 Year),FBI (20 Year),FBI (30 Year),FLI10 (%),FLI20 (%),FLI30 (%),FBI10 (%),FBI20 (%),FBI30 (%)
EDWIN B. FORSYTHE NATIONAL WILDLIFE REFUGE  ,79.23499,78.78342,78.42883,112.1831,112.5998,113.6251,23.30097,8.602151,1.204819,0.9708738,1.075269,1.204819
EGMONT KEY NATIONAL WILDLIFE REFUGE  ,16.3,15.76667,16.13333,32.73333,31.86667,32.25556,52.42718,29.03226,51.80723,57.28155,20.43011,28.91566
ELIZABETH ALEXANDRA MORTON NATIONAL WILDLIFE REFUGE  ,90.12846,89.5734,89.38834,122.7436,123.2806,124.0681,12.62136,2.150538,1.204819,0.9708738,1.075269,1.204819
ELLICOTT SLOUGH NATIONAL WILDLIFE REFUGE  ,30.13077,30.53812,30.83214,63.2302,63.44874,63.0675,0.9708738,1.075269,1.204819,18.4466,19.35484,8.433735
EMIQUON NATIONAL WILDLIFE REFUGE  ,84.93488,86.71679,85.47769,109.6568,113.0494,113.6905,8.737864,17.2043,1.204819,0.9708738,1.075269,1.204819
ERIE NATIONAL WILDLIFE REFUGE  ,94.9604,96.63625,96.78006,125.5839,127.6692,128.2677,1.941748,1.075269,1.204819,0.9708738,1.075269,1.204819
ERNEST F. HOLLINGS ACE BASIN NATIONAL WILDLIFE REFUGE  ,30.66414,29.33742,29.49773,59.23005,56.54506,56.36041,75.72816,65.5914,59.03614,77.6699,58.06452,48.19277
EUFAULA NATIONAL WILDLIFE REFUGE  ,33.81608,32.98971,32.88826,63.98997,61.76694,61.26786,74.75728,67.74194,61.44578,71.84466,52.68817,44.57831
EVERGLADES HEADWATERS NATIONAL WILDLIFE REFUGE AND CONSERVATION AREA  ,17.595,16.89929,17.18324,34.74965,33.88137,34.24554,57.28155,22.58065,33.73494,55.33981,22.58065,31.3253
FALLON NATIONAL WILDLIFE REFUGE  ,78.83413,76.96182,76.39754,117.8319,116.5405,115.2851,27.18447,19.35484,6.024096,35.92233,21.50538,6.024096
FARALLON NATIONAL WILDLIFE REFUGE  ,26.40193,26.93654,27.20168,52.4176,53.17718,53.56006,0.9708738,1.075269,1.204819,0.9708738,1.075269,1.204819
FEATHERSTONE NATIONAL WILDLIFE REFUGE  ,68.60215,68.38444,68.40583,101.1321,101.4794,101.8445,31.06796,11.82796,4.819277,4.854369,4.301075,1.204819
FELSENTHAL NATIONAL WILDLIFE REFUGE  ,40.71719,37.97996,38.42593,70.45041,68.86472,68.91422,78.64078,65.5914,60.24096,60.19417,46.23656,36.14458
FERN CAVE NATIONAL WILDLIFE REFUGE  ,48.64171,46.3565,46.17351,81.04632,81.13175,80.87106,66.01942,39.78495,27.71084,27.18447,21.50538,3.614458
FISH SPRINGS NATIONAL WILDLIFE REFUGE  ,90.62823,87.76995,88.02624,127.5311,127.0869,125.6556,31.06796,16.12903,4.819277,67.96117,54.83871,13.25301
FISHERMAN ISLAND NATIONAL WILDLIFE REFUGE  ,53.1854,50.5303,50.46377,90.91583,90.12497,90.26435,56.31068,23.65591,10.84337,27.18447,6.451613,1.204819
FLATTERY ROCKS NATIONAL WILDLIFE REFUGE  ,56.12543,57.92151,58.65027,118.6921,118.8519,117.1202,0.9708738,5.376344,2.409639,21.35922,20.43011,4.819277
FLINT HILLS NATIONAL WILDLIFE REFUGE  ,73.02843,73.64117,72.17648,100.3663,103.0359,103.3626,27.18447,31.1828,3.614458,0.9708738,3.225806,1.204819
FLORENCE LAKE NATIONAL WILDLIFE REFUGE  ,107.3894,111.7319,110.937,138.554,139.8582,139.0373,0.9708738,7.526882,1.204819,12.62136,25.80645,8.433735
FLORIDA PANTHER NATIONAL WILDLIFE REFUGE  ,15.83424,15.23539,15.11628,31.20456,30.43622,30.36687,76.69903,65.5914,53.01205,67.96117,43.01075,31.3253
FORT NIOBRARA NATIONAL WILDLIFE REFUGE  ,90.51165,91.9477,92.78939,123.7334,127.0881,127.0402,1.941748,5.376344,1.204819,0.9708738,9.677419,1.204819
FOX RIVER NATIONAL WILDLIFE REFUGE  ,98.26667,100.7667,102.2222,126.5,128.9333,129.4111,1.941748,1.075269,1.204819,0.9708738,1.075269,1.204819
FRANKLIN ISLAND NATIONAL WILDLIFE REFUGE  ,105.7119,106.5848,107.5554,138.8302,139.9038,140.5948,1.941748,1.075269,1.204819,0.9708738,1.075269,1.204819
FRANZ LAKE NATIONAL WILDLIFE REFUGE  ,75.33834,76.19156,74.7024,122.6308,121.9791,119.5611,18.4466,22.58065,7.228916,48.54369,41.93548,9.638554
